28.98238,77.233545
28.45453,77.343423
28.43432,77.343232
28.35342,77.545343
28.33442,77.334422
28.45453,77.353434
28.78678,77.445645
28.53635,77.563553
28.46366,77.464644
28.56564,77.635634
28.65355,77.363563
28.55644,77.463446
28.36563,77.443466
28.45454,77.565355
28.57457,77.535646
28.55643,77.453563
28.53634,77.434634
28.53563,77.356356
28.35557,77.563563
28.35755,77.357357
28.45246,77.363646
28.46363,77.346334
28.46346,77.346426
28.45456,77.353233
28.33478,77.446535
28.53455,77.565343
28.43436,77.434544
28.56254,77.633454
28.62355,77.363242
28.53524,77.425346
28.36233,77.443566
28.42534,77.545434
28.51334,77.545445
28.55346,77.453453
28.53634,77.445744
28.53876,77.678756
